Category,A,B,C,D,E,F,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,F.9,G,G.1,G.2,G.3,G.4,G.5,G.6,G.7,G.8,G.9,H,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,I,I.1,I.2,I.3,I.4,I.5,I.6,I.7,I.8,I.9,J,J.1,J.2,J.3,J.4,J.5,J.6,J.7,J.8,J.9,Selected,No,t-SNE-x,t-SNE-y
Glass,-0.819858277,0.758222627,-0.677687662,0.901633356,0.420241269,0.966,0.0256667,0.00466667,0.00133333,0.001,0.000333333,0.0,0.000666667,0.0,0.000333333,0.119333,0.204667,0.186,0.157667,0.111333,0.0763333,0.041,0.031,0.0376667,0.035,0.108,0.156667,0.146,0.108667,0.115,0.097,0.095,0.078,0.0693333,0.0263333,0.0883333,0.2,0.218,0.171333,0.109667,0.0756667,0.054,0.0373333,0.0266667,0.019,0.02,0.062,0.121333,0.202333,0.105,0.103667,0.196,0.121667,0.056,0.012,No,45,14.36870798587649,2.0948600356608753
Glass,-1.181867372,0.146090949,-0.731386877,-0.703798623,1.31330661,0.940667,0.0456667,0.00833333,0.002,0.00133333,0.000666667,0.000666667,0.000333333,0.0,0.000333333,0.0726667,0.216333,0.195667,0.121333,0.0606667,0.066,0.062,0.0543333,0.072,0.079,0.176,0.223,0.157,0.146,0.114,0.0786667,0.052,0.025,0.018,0.0103333,0.0526667,0.179,0.228,0.206,0.133667,0.0956667,0.0523333,0.03,0.0173333,0.00533333,0.005,0.0376667,0.111667,0.23,0.113,0.111,0.242,0.106,0.0373333,0.00633333,No,46,13.912860677650725,0.6122348414876506
Glass,-0.908564771,1.408212366,-0.702826993,0.493600433,0.395849069,0.986333,0.01,0.00166667,0.000666667,0.000333333,0.000333333,0.000333333,0.0,0.0,0.000333333,0.101,0.196333,0.188667,0.160667,0.092,0.061,0.0466667,0.0683333,0.0436667,0.0416667,0.105,0.163667,0.139333,0.132,0.106333,0.103667,0.102667,0.0743333,0.055,0.018,0.059,0.186333,0.200333,0.174333,0.140667,0.091,0.061,0.0436667,0.0246667,0.019,0.014,0.0596667,0.145333,0.171333,0.103333,0.109,0.190333,0.130333,0.061,0.0156667,No,48,14.724513396187676,2.1652559232729347
Glass,-1.084870683,0.669250469,-0.720299689,-0.726027092,0.990519083,0.990333,0.006,0.00233333,0.001,0.0,0.0,0.0,0.0,0.0,0.000333333,0.103667,0.218667,0.193667,0.114667,0.057,0.0586667,0.0523333,0.0436667,0.0746667,0.083,0.139,0.186333,0.131667,0.134667,0.12,0.0963333,0.08,0.0576667,0.0313333,0.023,0.071,0.200667,0.229333,0.178333,0.135,0.0793333,0.038,0.0313333,0.0256667,0.0113333,0.0106667,0.046,0.139667,0.207333,0.0993333,0.123667,0.207,0.120333,0.038,0.008,No,49,14.826554437161537,1.3191380243076105
Glass,-0.563154791,1.479180256,-0.643828013,3.186055625,-0.153508004,0.987333,0.0106667,0.000666667,0.000666667,0.0,0.0,0.0,0.0,0.000333333,0.000333333,0.112667,0.201333,0.186,0.246667,0.061,0.0423333,0.0306667,0.033,0.047,0.0393333,0.0823333,0.152667,0.132,0.124,0.117333,0.091,0.091,0.114,0.064,0.0316667,0.0553333,0.174333,0.192333,0.171667,0.124333,0.094,0.0726667,0.0603333,0.0373333,0.0176667,0.01,0.0596667,0.134667,0.174667,0.118333,0.096,0.176333,0.137,0.0793333,0.014,No,50,14.829206600844508,2.7955174940264995
Glass,-1.100258568,0.455257262,-0.722038552,-0.722066847,0.42590115,0.978333,0.0166667,0.003,0.00133333,0.0,0.0,0.0,0.0,0.000333333,0.000333333,0.119,0.245,0.218667,0.129333,0.0503333,0.0446667,0.0466667,0.0376667,0.0543333,0.0543333,0.139667,0.19,0.143,0.127,0.110667,0.0956667,0.0776667,0.0576667,0.044,0.0146667,0.107,0.240667,0.221333,0.171667,0.115,0.054,0.0346667,0.0246667,0.0216667,0.00933333,0.0143333,0.0553333,0.128667,0.203,0.0946667,0.142667,0.195667,0.111333,0.0466667,0.00766667,No,51,14.827950685586345,1.2121217794390249
Glass,-1.249565172,0.003522968,-0.743868824,-0.718234353,1.063957131,0.993667,0.00333333,0.001,0.001,0.000333333,0.0,0.0,0.000333333,0.0,0.000333333,0.144333,0.248667,0.233333,0.099,0.054,0.0473333,0.0393333,0.0326667,0.0543333,0.047,0.227,0.243333,0.173333,0.133,0.09,0.062,0.04,0.0176667,0.00933333,0.00433333,0.0996667,0.281333,0.252,0.176,0.0983333,0.0443333,0.0253333,0.0126667,0.00766667,0.00266667,0.00833333,0.027,0.0973333,0.221,0.144667,0.0756667,0.256333,0.119,0.0376667,0.013,No,52,14.911584119980184,0.35858468841497826
Glass,-1.168164676,0.387907712,-0.732411351,-0.713763109,1.433379367,0.946333,0.0433333,0.00666667,0.002,0.000333333,0.0,0.0,0.000666667,0.000333333,0.000333333,0.103667,0.206333,0.181,0.096,0.0703333,0.067,0.0546667,0.059,0.0926667,0.0693333,0.170667,0.209,0.141333,0.124,0.128333,0.0903333,0.0603333,0.035,0.0246667,0.0163333,0.0706667,0.231,0.23,0.188,0.127667,0.069,0.0393333,0.029,0.0136667,0.00166667,0.00566667,0.0356667,0.0973333,0.231333,0.135667,0.112,0.23,0.112,0.037,0.00333333,No,53,14.172690546674007,0.6743048579801039
Glass,-0.598526213,1.439492849,-0.650087421,3.112727228,-0.151038766,0.965667,0.0266667,0.004,0.00266667,0.000333333,0.000333333,0.0,0.0,0.0,0.000333333,0.111333,0.19,0.21,0.219333,0.0706667,0.038,0.0333333,0.037,0.046,0.0443333,0.098,0.151,0.129333,0.127667,0.0993333,0.0973333,0.116667,0.101667,0.056,0.023,0.0693333,0.181,0.186667,0.164333,0.136,0.0966667,0.0696667,0.0453333,0.034,0.017,0.016,0.0713333,0.135333,0.189667,0.0883333,0.111667,0.179333,0.132667,0.0613333,0.0143333,No,54,14.737180838811666,2.5571544541668705
Glass,-1.099714392,0.435060467,-0.721848511,-0.696133634,0.462905831,0.960667,0.0276667,0.00533333,0.004,0.00133333,0.0,0.0,0.0,0.000333333,0.000666667,0.134333,0.235667,0.217667,0.119333,0.0483333,0.0543333,0.0443333,0.0483333,0.061,0.0366667,0.135,0.193,0.142333,0.122667,0.0936667,0.111333,0.0796667,0.0596667,0.0416667,0.021,0.100333,0.240667,0.237,0.166,0.104,0.0606667,0.0356667,0.0283333,0.018,0.00933333,0.008,0.0413333,0.112,0.191667,0.153333,0.110333,0.190667,0.132,0.0486667,0.012,No,55,14.208826910543875,1.3410310665874432
Glass,-0.409712451,2.567164011,-0.638525933,1.295613799,-0.074991073,0.978667,0.014,0.00433333,0.001,0.000666667,0.000666667,0.000333333,0.0,0.0,0.000333333,0.0923333,0.137333,0.123,0.230667,0.174,0.0973333,0.04,0.038,0.043,0.0243333,0.0633333,0.109667,0.124333,0.109667,0.102667,0.110667,0.126,0.139333,0.0886667,0.0256667,0.0423333,0.153667,0.164,0.144333,0.148333,0.122667,0.107,0.0653333,0.0373333,0.015,0.007,0.054,0.128333,0.16,0.123333,0.0633333,0.17,0.169,0.0966667,0.0283333,No,56,14.53350328945779,3.4151252218064236
Glass,-0.590849239,1.440992644,-0.648725968,3.179795884,-0.152713975,0.991333,0.00633333,0.001,0.000666667,0.0,0.0,0.000333333,0.0,0.0,0.000333333,0.1,0.199333,0.196333,0.234667,0.068,0.0376667,0.0333333,0.0326667,0.0496667,0.0483333,0.0906667,0.151,0.139667,0.130667,0.0976667,0.0993333,0.101333,0.111,0.055,0.0236667,0.0723333,0.183,0.176,0.156333,0.116667,0.102333,0.0743333,0.053,0.043,0.023,0.018,0.0746667,0.147,0.179667,0.0903333,0.119333,0.164667,0.140333,0.055,0.011,No,57,15.042850872126122,2.6434474873076286
Glass,-1.101007541,0.207333709,-0.715057631,-0.729476337,0.782952987,0.95,0.0393333,0.00633333,0.00166667,0.000333333,0.00166667,0.000333333,0.0,0.0,0.000333333,0.093,0.223333,0.191667,0.123667,0.0633333,0.0533333,0.051,0.0543333,0.0736667,0.0726667,0.131667,0.19,0.152,0.132,0.121667,0.102,0.0696667,0.055,0.032,0.014,0.0796667,0.183333,0.202,0.184333,0.141667,0.0843333,0.044,0.036,0.0263333,0.0183333,0.016,0.042,0.134667,0.215333,0.092,0.0906667,0.204,0.143,0.05,0.0123333,No,59,14.091990441367429,1.3300660179248436
Glass,-1.17917692,0.111629286,-0.730464993,-0.707503368,1.303681423,0.972667,0.0193333,0.00533333,0.000666667,0.000666667,0.000333333,0.000333333,0.0,0.000333333,0.000333333,0.0813333,0.221667,0.176667,0.102667,0.067,0.0606667,0.0626667,0.0636667,0.089,0.0746667,0.172333,0.2,0.159667,0.136667,0.119333,0.082,0.0566667,0.03,0.0293333,0.014,0.0683333,0.211,0.240333,0.192333,0.123,0.0696667,0.048,0.0313333,0.0126667,0.00333333,0.0133333,0.0466667,0.118,0.235,0.0903333,0.107333,0.215667,0.117333,0.0466667,0.00966667,No,60,14.284426252710158,0.7601168488953387
Airplane,-0.819254417,-0.131189582,-0.614545013,-0.725899342,0.596109125,0.981,0.015,0.00233333,0.000333333,0.0,0.0,0.000666667,0.000333333,0.0,0.000333333,0.039,0.121333,0.148333,0.140333,0.159,0.147667,0.0653333,0.06,0.0583333,0.0606667,0.0866667,0.168,0.194667,0.192333,0.165667,0.108667,0.0426667,0.021,0.0146667,0.00566667,0.0463333,0.159333,0.242,0.201,0.150333,0.091,0.057,0.0343333,0.015,0.00366667,0.006,0.047,0.156667,0.233,0.06,0.105,0.233667,0.125,0.0293333,0.00433333,No,61,7.3378488375838185,-4.631763693593253
Airplane,-0.764305543,-0.426156937,-0.572113587,-0.724494094,0.293230436,0.977,0.018,0.002,0.001,0.001,0.000666667,0.0,0.0,0.0,0.000333333,0.124333,0.111,0.135333,0.108,0.123333,0.108,0.088,0.0876667,0.063,0.0513333,0.068,0.154,0.181333,0.191,0.150667,0.126667,0.065,0.0316667,0.025,0.00666667,0.0416667,0.147,0.254,0.235333,0.149667,0.0846667,0.052,0.024,0.01,0.00166667,0.00966667,0.055,0.181,0.209,0.0576667,0.0676667,0.206667,0.162333,0.043,0.008,No,62,7.687389125563111,-5.047833149499795
Airplane,-0.76390414,-0.360496842,-0.586858389,-0.729220837,0.265860626,0.948667,0.04,0.00766667,0.00166667,0.001,0.0,0.000666667,0.0,0.0,0.000333333,0.128,0.113333,0.147667,0.110333,0.109667,0.098,0.100333,0.117333,0.0476667,0.0276667,0.075,0.168,0.171333,0.179,0.171333,0.135333,0.0603333,0.0263333,0.0113333,0.002,0.0373333,0.155,0.244333,0.219333,0.152667,0.0843333,0.0533333,0.0326667,0.0166667,0.00433333,0.011,0.0603333,0.184,0.196,0.045,0.0873333,0.236333,0.137,0.0383333,0.00466667,No,63,7.085468814422536,-5.792425207955878
Airplane,-0.623539572,-0.195499188,-0.552701657,-0.679015158,0.68432871,0.989667,0.00766667,0.00166667,0.0,0.000333333,0.000333333,0.0,0.0,0.0,0.000333333,0.087,0.104667,0.127,0.147667,0.121667,0.106,0.0936667,0.127667,0.0616667,0.023,0.0643333,0.139667,0.176,0.156333,0.169333,0.143333,0.0816667,0.041,0.0196667,0.00866667,0.042,0.157667,0.234667,0.217,0.146333,0.103,0.0556667,0.0293333,0.0123333,0.002,0.00733333,0.0413333,0.152667,0.219,0.0836667,0.034,0.178667,0.199,0.0726667,0.0116667,No,64,8.9940040399595,-4.840263214704524
Airplane,-0.667480883,-0.05059072,-0.599777769,-0.729731836,0.898794148,0.997667,0.00166667,0.0,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0526667,0.125,0.138667,0.118,0.131667,0.158,0.144333,0.074,0.042,0.0156667,0.071,0.132,0.143667,0.186667,0.197,0.125667,0.0773333,0.0406667,0.0206667,0.00533333,0.0533333,0.18,0.254667,0.196333,0.133,0.086,0.054,0.031,0.009,0.00266667,0.0106667,0.0633333,0.177667,0.199667,0.036,0.0986667,0.234,0.142,0.0346667,0.00333333,No,65,7.964687961017983,-5.317050015431841
Airplane,-0.530366156,0.639671547,-0.59692805,-0.63545247,2.159959957,0.994,0.00366667,0.000666667,0.000333333,0.000333333,0.0,0.0,0.0,0.000333333,0.000666667,0.0453333,0.0933333,0.131,0.164,0.167333,0.156667,0.147333,0.063,0.018,0.014,0.0756667,0.140333,0.159333,0.177,0.17,0.138333,0.0823333,0.037,0.0166667,0.00333333,0.0373333,0.162667,0.221333,0.190667,0.142333,0.108333,0.083,0.0416667,0.008,0.00466667,0.0146667,0.0786667,0.203667,0.181333,0.0313333,0.117,0.219333,0.124667,0.027,0.00233333,No,66,7.827354819474589,-5.712589213386893
Airplane,-0.488386217,-0.066624406,-0.526954446,-0.516772888,0.765629587,0.947,0.039,0.00733333,0.004,0.00133333,0.000333333,0.000666667,0.0,0.0,0.000333333,0.0846667,0.0786667,0.116667,0.144,0.123,0.137333,0.134333,0.111333,0.0426667,0.0273333,0.0636667,0.137,0.161333,0.168667,0.181,0.147,0.0726667,0.0406667,0.0203333,0.00766667,0.0356667,0.137,0.216667,0.215333,0.152,0.109,0.0803333,0.0356667,0.0143333,0.004,0.00166667,0.031,0.146667,0.231333,0.089,0.0543333,0.238,0.168333,0.035,0.00466667,No,67,6.784773006957539,-6.551345589219649
Airplane,-0.751838652,0.110512846,-0.627481847,-0.654870442,0.767251537,0.967,0.0243333,0.00466667,0.00233333,0.000666667,0.0,0.000333333,0.000333333,0.0,0.000333333,0.0806667,0.0766667,0.138333,0.191333,0.171667,0.139,0.0676667,0.064,0.042,0.0286667,0.0806667,0.147667,0.159667,0.199,0.174667,0.117333,0.0716667,0.037,0.0113333,0.001,0.061,0.224,0.233,0.189,0.128333,0.0973333,0.038,0.0166667,0.0106667,0.002,0.00433333,0.034,0.192333,0.227,0.039,0.235333,0.221333,0.0423333,0.00366667,0.000666667,No,68,8.414454364278635,-6.737249757959733
Airplane,-0.670078884,0.010941238,-0.586732646,-0.728837588,0.908225669,0.922333,0.0576667,0.011,0.004,0.002,0.002,0.0,0.000333333,0.000333333,0.000333333,0.0906667,0.109333,0.117,0.124,0.104667,0.122333,0.121667,0.115,0.05,0.0453333,0.073,0.154,0.159333,0.153,0.171667,0.144,0.087,0.0413333,0.0123333,0.00433333,0.039,0.186667,0.277,0.202333,0.130667,0.078,0.043,0.027,0.013,0.00333333,0.016,0.0613333,0.176,0.182333,0.0376667,0.0833333,0.24,0.153,0.046,0.00433333,No,69,6.545410990565464,-7.249028331572475
Airplane,-0.796500851,0.498912737,-0.64970823,-0.699327379,2.816472283,0.939,0.0433333,0.00966667,0.005,0.000666667,0.000666667,0.0,0.000666667,0.000666667,0.000333333,0.07,0.0903333,0.102,0.154667,0.151667,0.172667,0.073,0.0616667,0.0583333,0.0656667,0.0886667,0.158333,0.175667,0.212,0.182333,0.105333,0.0383333,0.02,0.0136667,0.00566667,0.0283333,0.133333,0.219333,0.188333,0.155,0.110667,0.0766667,0.0576667,0.0266667,0.004,0.00333333,0.0326667,0.130333,0.221333,0.100333,0.0433333,0.209667,0.197667,0.0513333,0.01,No,70,7.12790631965612,-7.251789224810084
Airplane,-0.748628601,-0.092168004,-0.610714634,-0.728837588,0.496763443,0.977667,0.0176667,0.00266667,0.001,0.0,0.000333333,0.0,0.000333333,0.0,0.000333333,0.088,0.0843333,0.113333,0.123,0.116667,0.150333,0.159667,0.092,0.037,0.0356667,0.0776667,0.158667,0.171333,0.190667,0.186667,0.134667,0.0513333,0.0226667,0.00433333,0.002,0.0426667,0.151,0.219,0.210333,0.143667,0.089,0.069,0.046,0.0213333,0.008,0.00466667,0.027,0.127667,0.221,0.105333,0.0273333,0.195333,0.202333,0.0726667,0.0166667,No,71,9.326156638087477,-4.650321566978746
Airplane,-0.825555153,0.059143178,-0.642619554,-0.728582088,1.199958895,0.988333,0.00833333,0.00133333,0.001,0.000333333,0.0,0.000333333,0.0,0.0,0.000333333,0.0923333,0.082,0.127667,0.102333,0.141,0.182,0.135333,0.0616667,0.041,0.0346667,0.073,0.143,0.166333,0.185333,0.190667,0.145,0.0613333,0.0236667,0.00766667,0.004,0.0223333,0.12,0.215667,0.199,0.158,0.106667,0.0793333,0.0553333,0.0333333,0.0103333,0.0103333,0.0746667,0.189333,0.179667,0.0363333,0.0673333,0.213333,0.164667,0.0516667,0.0126667,No,72,8.140245942493028,-5.669619092785651
Airplane,-0.834755819,-0.01684869,-0.645115196,-0.726793591,1.104239604,0.996,0.00266667,0.000666667,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0686667,0.0973333,0.141667,0.112,0.124333,0.163,0.130333,0.0736667,0.049,0.04,0.074,0.139667,0.151667,0.198667,0.179333,0.132667,0.0706667,0.0366667,0.011,0.00566667,0.0423333,0.202,0.243667,0.199,0.125,0.0936667,0.06,0.0236667,0.00933333,0.00133333,0.00266667,0.0226667,0.121667,0.241,0.115333,0.0536667,0.230333,0.163,0.0453333,0.00433333,No,73,9.096711261680962,-4.29097017191729
Airplane,-0.835230948,-0.202581181,-0.623305761,-0.729731836,1.102748378,0.985667,0.0106667,0.002,0.000666667,0.000666667,0.0,0.0,0.0,0.0,0.000333333,0.0983333,0.121667,0.144,0.152333,0.177333,0.106333,0.0743333,0.0536667,0.0356667,0.0363333,0.0846667,0.163333,0.19,0.225,0.167,0.0986667,0.0463333,0.015,0.009,0.001,0.0336667,0.146333,0.245667,0.238667,0.132,0.103333,0.063,0.0243333,0.0116667,0.00133333,0.002,0.0366667,0.153667,0.21,0.0833333,0.0333333,0.211667,0.193333,0.0683333,0.00766667,No,74,8.610885022870198,-3.9401406407349318
Airplane,-0.39758611,0.158647531,-0.525570551,-0.601598768,0.839285508,0.944333,0.0406667,0.00866667,0.00266667,0.00133333,0.00166667,0.0,0.0,0.0,0.000666667,0.0726667,0.082,0.0933333,0.158,0.135667,0.148,0.159,0.095,0.0406667,0.0156667,0.0636667,0.125667,0.141667,0.177333,0.169,0.144333,0.089,0.0563333,0.0256667,0.00733333,0.0396667,0.150333,0.223333,0.2,0.158,0.109667,0.0733333,0.032,0.0103333,0.00333333,0.0136667,0.0743333,0.171,0.192333,0.0463333,0.0346667,0.187333,0.189,0.078,0.0133333,No,75,7.038420294748279,-7.019695145958703
Airplane,-0.707692543,-0.326499242,-0.564862833,-0.62829848,0.983915081,0.972667,0.0203333,0.00566667,0.000333333,0.000333333,0.000333333,0.0,0.0,0.0,0.000333333,0.093,0.0996667,0.123,0.146667,0.114,0.1,0.104,0.131,0.0646667,0.024,0.0746667,0.173667,0.177667,0.161,0.161333,0.120667,0.064,0.0353333,0.0206667,0.011,0.029,0.134667,0.218,0.248333,0.174667,0.0976667,0.055,0.03,0.0103333,0.00233333,0.01,0.0643333,0.175,0.190667,0.06,0.0356667,0.152,0.204333,0.0916667,0.0163333,No,76,8.910810278943915,-5.230464758403628
Airplane,-0.648524844,-0.065972028,-0.591835602,-0.563657071,0.904095748,0.996667,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.097,0.1,0.131,0.145,0.0883333,0.11,0.137667,0.113667,0.062,0.0153333,0.0733333,0.140333,0.145667,0.174,0.194333,0.143,0.0666667,0.0353333,0.0223333,0.005,0.0373333,0.194667,0.252667,0.215,0.131,0.0853333,0.0563333,0.0206667,0.006,0.001,0.00566667,0.0386667,0.140667,0.223333,0.093,0.029,0.195,0.195333,0.0686667,0.0106667,No,77,9.239378147323903,-4.66443696151434
Airplane,-0.595043488,0.20011048,-0.597727396,-0.508724649,1.009774299,0.925333,0.0563333,0.007,0.00366667,0.003,0.001,0.001,0.00166667,0.0,0.001,0.0613333,0.056,0.0703333,0.085,0.122,0.132,0.148,0.158333,0.123,0.044,0.0596667,0.118333,0.149667,0.133333,0.149333,0.147333,0.133,0.068,0.032,0.00933333,0.038,0.154,0.203667,0.188333,0.159,0.114333,0.0743333,0.0446667,0.018,0.00566667,0.00766667,0.0373333,0.172333,0.229,0.0486667,0.124667,0.257,0.102667,0.016,0.00466667,No,78,5.236550684269742,-8.250850014086478
Airplane,-0.480051552,0.255320431,-0.560419053,0.744117829,0.24310006,0.996667,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.058,0.0683333,0.0893333,0.122333,0.148,0.175,0.158,0.0933333,0.0546667,0.033,0.072,0.121333,0.154333,0.193667,0.198667,0.135667,0.0763333,0.034,0.0106667,0.00333333,0.037,0.131667,0.191667,0.174667,0.173,0.122333,0.083,0.0576667,0.024,0.005,0.005,0.0166667,0.0946667,0.244667,0.127,0.045,0.221,0.189333,0.0463333,0.0103333,No,79,9.680975223942795,-4.15286248485856
Airplane,-0.481022876,0.265549977,-0.561437827,0.112011723,0.348517163,0.95,0.0376667,0.00866667,0.001,0.001,0.000333333,0.000666667,0.0,0.0,0.000666667,0.0496667,0.065,0.0826667,0.121333,0.158,0.189667,0.140667,0.0983333,0.061,0.0336667,0.0713333,0.126333,0.150333,0.180333,0.188333,0.148667,0.0816667,0.0393333,0.0106667,0.003,0.032,0.148333,0.212333,0.194,0.158333,0.116333,0.0813333,0.039,0.016,0.00233333,0.00866667,0.038,0.174333,0.221667,0.0533333,0.0976667,0.244667,0.133333,0.024,0.00433333,No,80,6.6481418611880505,-6.457577672011292
Ant,-0.634451172,-0.213584163,-0.535719113,-0.629064979,-0.416792701,0.967667,0.0226667,0.00633333,0.00133333,0.000666667,0.000333333,0.000666667,0.0,0.0,0.000333333,0.0333333,0.118,0.148333,0.155,0.167667,0.143,0.110333,0.073,0.0286667,0.0226667,0.0606667,0.156667,0.212,0.214,0.144333,0.0963333,0.06,0.0346667,0.0153333,0.006,0.0266667,0.088,0.158,0.192667,0.196667,0.16,0.105,0.0486667,0.019,0.00533333,0.013,0.0853333,0.175,0.18,0.0426667,0.049,0.19,0.183,0.0686667,0.0133333,No,81,2.064424240033435,1.639381341748615
Ant,-0.409553294,-0.234390964,-0.437375309,-0.470527453,-0.494313707,0.998,0.00166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0126667,0.066,0.138,0.107,0.126333,0.160333,0.136667,0.138,0.102,0.013,0.038,0.141333,0.191667,0.181,0.168333,0.128333,0.0733333,0.0466667,0.0253333,0.006,0.0153333,0.0886667,0.161,0.214667,0.202,0.156,0.0946667,0.0493333,0.014,0.00433333,0.0103333,0.0693333,0.191667,0.19,0.035,0.0966667,0.223667,0.145,0.0336667,0.00466667,No,82,4.070065177669389,-3.3346353596483573
Ant,-0.645495014,-0.256838124,-0.531962827,-0.668284173,-0.177396673,0.998667,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.038,0.0976667,0.107333,0.119333,0.166333,0.164667,0.125667,0.087,0.0593333,0.0346667,0.0506667,0.175,0.201,0.189,0.16,0.102,0.067,0.0373333,0.0136667,0.00433333,0.0266667,0.105333,0.188,0.22,0.198333,0.132333,0.0753333,0.0346667,0.0133333,0.006,0.00533333,0.039,0.169333,0.214333,0.068,0.047,0.218667,0.172333,0.0573333,0.00866667,No,83,4.451757833150905,-2.3397121165957078
Ant,-0.535562156,-0.106305087,-0.519156902,-0.270471236,-0.530836644,0.995333,0.00266667,0.00133333,0.0,0.0,0.000333333,0.0,0.0,0.0,0.000333333,0.0183333,0.120333,0.098,0.121333,0.158,0.165,0.139667,0.0906667,0.0606667,0.028,0.043,0.157333,0.180333,0.189667,0.162667,0.112,0.0713333,0.0506667,0.0216667,0.0113333,0.0323333,0.128667,0.210333,0.232667,0.184333,0.117667,0.0603333,0.0246667,0.008,0.001,0.007,0.0443333,0.159667,0.213667,0.069,0.0406667,0.199667,0.184,0.0683333,0.0136667,No,84,4.4129598260453395,-1.8560015570856914
Ant,-0.430628693,-0.157116536,-0.460846308,-0.061472532,0.188200665,0.933667,0.048,0.00866667,0.00466667,0.00233333,0.001,0.000666667,0.000333333,0.000333333,0.000333333,0.0183333,0.096,0.116,0.134333,0.154,0.166,0.113,0.103333,0.0576667,0.0413333,0.0486667,0.166333,0.204,0.197333,0.146,0.104333,0.0663333,0.0366667,0.026,0.00433333,0.0246667,0.122333,0.211,0.235333,0.184667,0.122333,0.0643333,0.0233333,0.0103333,0.00166667,0.00233333,0.0293333,0.144667,0.226333,0.079,0.0296667,0.207333,0.209333,0.0666667,0.00533333,No,85,3.758420038030132,-7.0970836370589865
Ant,-0.563913126,-0.326250397,-0.467194057,-0.592400781,-0.421532186,0.998333,0.000666667,0.000333333,0.0,0.000333333,0.0,0.0,0.0,0.0,0.000333333,0.0173333,0.115667,0.126,0.143667,0.15,0.144667,0.101333,0.113,0.0676667,0.0206667,0.0596667,0.157333,0.204333,0.189333,0.139333,0.108333,0.069,0.0416667,0.023,0.008,0.0243333,0.1,0.189333,0.235,0.189667,0.146333,0.0696667,0.0326667,0.0116667,0.00133333,0.009,0.057,0.179333,0.222333,0.0313333,0.095,0.237667,0.137,0.03,0.00133333,No,86,4.557143780382717,-3.275371045048232
Ant,-0.484758379,-0.328851835,-0.465329272,-0.299470445,-0.382637812,0.969,0.0246667,0.00366667,0.000666667,0.000666667,0.0,0.001,0.0,0.0,0.000333333,0.0646667,0.0763333,0.112667,0.115667,0.128333,0.146667,0.126667,0.110333,0.0873333,0.0313333,0.0536667,0.146667,0.175333,0.179667,0.173667,0.113333,0.0743333,0.0436667,0.03,0.00966667,0.0246667,0.0836667,0.181,0.222333,0.195667,0.146333,0.08,0.044,0.0203333,0.002,0.00866667,0.057,0.164333,0.216667,0.0563333,0.085,0.225,0.144667,0.0356667,0.00666667,No,87,4.332762657180411,-3.712817103061105
Ant,-0.384799736,-0.204901492,-0.46771235,-0.380080581,-0.494940216,0.993667,0.00533333,0.000333333,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.037,0.0883333,0.0966667,0.0996667,0.118333,0.131,0.144333,0.165,0.0783333,0.0413333,0.0433333,0.123667,0.164667,0.171333,0.177333,0.137333,0.0953333,0.0516667,0.0266667,0.00866667,0.0243333,0.109667,0.201667,0.209667,0.193333,0.130333,0.0703333,0.0383333,0.0183333,0.004,0.00166667,0.0183333,0.0926667,0.251,0.143667,0.049,0.227,0.172667,0.037,0.007,No,88,5.2881891998110575,-1.875950458913107
